Date,spx_Price,spx_Return,I1_AR3,I1_AR3_Forecast,I2_MACD,I2_MACD_Line,I2_MACD_Vel,I3_CreditSpread,I3_Spread_Index,I3_Spread_ROC_Inv,I4_CommodityMom,I4_Commodity_ZScore,I5_VolRegime,I5_Vol_ZScore,Vote_Sum,Composite_Score,Signal,Position,Forward_Return,Strategy_Return,BH_Return,Strategy_Cumulative,BH_Cumulative,Bench_6040_Return,Bench_6040_Cumulative,Bench_EW_Return,Bench_EW_Cumulative,Bench_SMA_Return,Bench_SMA_Cumulative,Bench_Random_Return,Bench_Random_Cumulative,Meta_Label,Rolling_Sharpe,Rolling_HitRate,Set
1996-01-31,636.02,0.0326,0.0,,0.0,0.0,,0.0,-0.005064000000000001,,0.0,,0.0,,0.0,0.0,SELL,0,0.0069,0.0,0.0069,1.0,1.0069,0.041272800000000005,1.0412728,0.023311750000000003,1.02331175,0.0,1.0,0.006899999999999906,1.0069,0.0,,0.0,train
1996-02-29,640.43,0.0069,0.0,,1.0,1.4031818181817926,1.4031818181817926,0.0,0.11156800000000001,,0.0,,0.0,,1.0,0.2,SELL,0,0.0079,0.0,0.0079,1.0,1.01485451,0.019761200000000003,1.06184960005536,0.020088750000000002,1.0438688039178126,0.0,1.0,0.007900000000000027,1.01485451,0.0,,0.0,train
1996-03-29,645.5,0.0079,0.0,,1.0,3.4628305785124667,2.059648760330674,0.0,0.157621,,0.0,,0.0,,1.0,0.2,SELL,0,0.0134,0.0,0.0134,1.0,1.028453560434,0.029724800000000003,1.0934128670470857,0.02591975,1.0709256223481611,0.0,1.0,0.013400000000000006,1.028453560434,0.0,,0.0,train
1996-04-30,654.17,0.0134,0.0,,1.0,6.749247746055744,3.286417167543277,0.0,0.22013300000000002,-0.22519700000000004,0.0,,0.0,,1.0,0.2,SELL,0,0.0229,0.0,0.0229,1.0,1.0520051469679383,0.0246544,1.1203703052364113,0.009917,1.081545991744988,0.0,1.0,0.0,1.028453560434,0.0,,0.0,train
1996-05-31,669.12,0.0229,0.0,,1.0,12.236941337682083,5.487693591626339,0.0,0.24911900000000003,-0.13755100000000003,0.0,,0.0,,1.0,0.2,SELL,0,0.0023,0.0,0.0023,1.0,1.0544247588059645,-0.006851199999999999,1.1126944242011758,-0.0023002499999999998,1.0790581655774765,0.0,1.0,0.0,1.028453560434,0.0,,0.0,train
1996-06-28,670.63,0.0023,0.0,,1.0,13.849912230830796,1.612970893148713,0.0,0.21384100000000003,-0.05622000000000002,0.0,,0.0,,1.0,0.2,SELL,0,-0.045700000000000005,-0.0,-0.045700000000000005,1.0,1.006237547328532,-0.022472800000000005,1.0876890649449877,-0.012570500000000002,1.0654938649070849,-0.0,1.0,0.0,1.028453560434,1.0,,0.16666666666666666,train
1996-07-31,639.95,-0.045700000000000005,0.0,,0.0,3.4888628479525323,-10.361049382878264,0.0,0.22430900000000004,-0.004176000000000013,0.0,,0.0,,0.0,0.0,SELL,0,0.018799999999999997,0.0,0.018799999999999997,1.0,1.0251548132183084,0.020052399999999998,1.1094998411508905,0.020432249999999996,1.0872643019283328,0.0,1.0,0.018799999999999928,1.047788487370159,0.0,,0.14285714285714285,train
1996-08-30,651.99,0.018799999999999997,0.0,,0.0,2.7639914778702632,-0.7248713700822691,0.0,0.24934000000000003,-0.00022099999999999898,0.0,,0.0,,0.0,0.0,SELL,0,0.0542,0.0,0.0542,1.0,1.0807182040947407,0.0186932,1.1302399435814923,0.010374,1.0985435817965374,0.0,1.0,0.05419999999999995,1.1045786233856216,0.0,,0.125,train
1996-09-30,687.31,0.0542,0.0,,1.0,13.45436305575754,10.690371577887277,1.0,0.19357300000000005,0.02026799999999998,0.0,,0.0,,2.0,0.4,SELL,0,0.026099999999999998,0.0,0.026099999999999998,1.0,1.1089249492216136,-0.006061600000000004,1.1233888811394788,-0.00476225,1.093312042624127,0.0,1.0,0.0261000000000001,1.1334081254559865,0.0,,0.1111111111111111,train
1996-10-31,705.27,0.026099999999999998,0.0,,1.0,22.319118423460736,8.864755367703196,1.0,0.11196900000000005,0.11233999999999998,0.0,,0.0,,2.0,0.4,SELL,0,0.07339999999999999,0.0,0.07339999999999999,1.0,1.1903200404944798,0.0254252,1.1519512681202262,0.02494375,1.1205833448873326,0.0,1.0,0.07339999999999984,1.2166002818644557,0.0,,0.1,train
