Date,Price
1996-01-31,0.63
1996-02-29,0.64
1996-03-29,0.61
1996-04-30,0.6
1996-05-31,0.58
1996-06-28,0.58
1996-07-31,0.59
1996-08-30,0.59
1996-09-30,0.56
1996-10-31,0.54
1996-11-29,0.54
1996-12-31,0.56
1997-01-31,0.55
1997-02-28,0.52
1997-03-31,0.54
1997-04-30,0.57
1997-05-30,0.55
1997-06-30,0.54
1997-07-31,0.51
1997-08-29,0.55
1997-09-30,0.55
1997-10-31,0.69
1997-11-28,0.71
1997-12-31,0.67
1998-01-30,0.75
1998-02-27,0.71
1998-03-31,0.7
1998-04-30,0.69
1998-05-29,0.69
1998-06-30,0.77
1998-07-31,0.81
1998-08-31,1.23
1998-09-30,1.23
1998-10-30,1.45
1998-11-30,1.17
1998-12-31,1.18
1999-01-29,1.11
1999-02-26,1.04
1999-03-31,1.02
1999-04-30,1.02
1999-05-31,1.06
1999-06-30,1.12
1999-07-30,1.2
1999-08-31,1.25
1999-09-30,1.22
1999-10-29,1.17
1999-11-30,1.12
1999-12-31,1.11
2000-01-31,1.15
2000-02-29,1.22
2000-03-31,1.46
2000-04-28,1.56
2000-05-31,1.65
2000-06-30,1.63
2000-07-31,1.62
2000-08-31,1.64
2000-09-29,1.61
2000-10-31,1.82
2000-11-30,1.98
2000-12-29,1.99
2001-01-31,1.71
2001-02-28,1.77
2001-03-30,1.78
2001-04-30,1.64
2001-05-31,1.56
2001-06-29,1.56
2001-07-31,1.54
2001-08-31,1.56
2001-09-28,1.95
2001-10-31,2.01
2001-11-30,1.78
2001-12-31,1.74
2002-01-31,1.72
2002-02-28,1.79
2002-03-29,1.69
2002-04-30,1.87
2002-05-31,1.61
2002-06-28,1.84
2002-07-31,2.29
2002-08-30,2.24
2002-09-30,2.38
2002-10-31,2.47
2002-11-29,1.92
2002-12-31,1.84
2003-01-31,1.68
2003-02-28,1.64
2003-03-31,1.59
2003-04-30,1.33
2003-05-30,1.3
2003-06-30,1.23
2003-07-31,1.19
2003-08-29,1.17
2003-09-30,1.11
2003-10-31,1.03
2003-11-28,0.98
2003-12-31,0.95
2004-01-30,0.93
2004-02-27,0.95
2004-03-31,0.97
2004-04-30,0.92
2004-05-31,0.99
2004-06-30,0.99
2004-07-30,0.95
2004-08-31,0.95
2004-09-30,0.9
2004-10-29,0.9
2004-11-30,0.84
2004-12-31,0.81
2005-01-31,0.82
2005-02-28,0.77
2005-03-31,0.93
2005-04-29,1.04
2005-05-31,0.87
2005-06-30,0.93
2005-07-29,0.85
2005-08-31,0.87
2005-09-30,0.88
2005-10-31,0.93
2005-11-30,0.95
2005-12-30,0.9
2006-01-31,0.88
2006-02-28,0.85
2006-03-31,0.88
2006-04-28,0.85
2006-05-31,0.9
2006-06-30,0.94
2006-07-31,0.95
2006-08-31,0.94
2006-09-29,0.94
2006-10-31,0.92
2006-11-30,0.89
2006-12-29,0.88
2007-01-31,0.86
2007-02-28,0.85
2007-03-30,0.92
2007-04-30,0.92
2007-05-31,0.9
2007-06-29,0.97
2007-07-31,1.26
2007-08-31,1.45
2007-09-28,1.45
2007-10-31,1.43
2007-11-30,1.93
2007-12-31,1.98
2008-01-31,2.26
2008-02-29,2.47
2008-03-31,2.89
2008-04-30,2.44
2008-05-30,2.35
2008-06-30,2.65
2008-07-31,2.88
2008-08-29,3.04
2008-09-30,4.41
2008-10-31,5.75
2008-11-28,6.07
2008-12-31,5.55
2009-01-30,4.81
2009-02-27,5.05
2009-03-31,5.43
2009-04-30,4.39
2009-05-29,3.52
2009-06-30,3.06
2009-07-31,2.47
2009-08-31,2.31
2009-09-30,2.18
2009-10-30,2.06
2009-11-30,2.06
2009-12-31,1.72
2010-01-29,1.69
2010-02-26,1.73
2010-03-31,1.5
2010-04-30,1.43
2010-05-31,1.87
2010-06-30,1.93
2010-07-30,1.75
2010-08-31,1.86
2010-09-30,1.75
2010-10-29,1.68
2010-11-30,1.71
2010-12-31,1.56
2011-01-31,1.5
2011-02-28,1.39
2011-03-31,1.42
2011-04-29,1.38
2011-05-31,1.46
2011-06-30,1.53
2011-07-29,1.53
2011-08-31,2.08
2011-09-30,2.38
2011-10-31,2.02
2011-11-30,2.43
2011-12-30,2.34
2012-01-31,2.06
2012-02-29,1.81
2012-03-30,1.76
2012-04-30,1.85
2012-05-31,2.09
2012-06-29,1.99
2012-07-31,1.78
2012-08-31,1.72
2012-09-28,1.56
2012-10-31,1.37
2012-11-30,1.47
2012-12-31,1.41
2013-01-31,1.38
2013-02-28,1.37
2013-03-29,1.39
2013-04-30,1.35
2013-05-31,1.32
2013-06-28,1.52
2013-07-31,1.38
2013-08-30,1.4
2013-09-30,1.41
2013-10-31,1.31
2013-11-29,1.25
2013-12-31,1.14
2014-01-31,1.16
2014-02-28,1.09
2014-03-31,1.06
2014-04-30,1.01
2014-05-30,1.01
2014-06-30,0.99
2014-07-31,0.99
2014-08-29,1.02
2014-09-30,1.12
2014-10-31,1.18
2014-11-28,1.24
2014-12-31,1.31
2015-01-30,1.36
2015-02-27,1.23
2015-03-31,1.29
2015-04-30,1.28
2015-05-29,1.33
2015-06-30,1.45
2015-07-31,1.54
2015-08-31,1.63
2015-09-30,1.69
2015-10-30,1.59
2015-11-30,1.55
2015-12-31,1.65
2016-01-29,1.93
2016-02-29,1.97
2016-03-31,1.63
2016-04-29,1.46
2016-05-31,1.49
2016-06-30,1.56
2016-07-29,1.45
2016-08-31,1.35
2016-09-30,1.38
2016-10-31,1.32
2016-11-30,1.29
2016-12-30,1.23
2017-01-31,1.21
2017-02-28,1.15
2017-03-31,1.18
2017-04-28,1.16
2017-05-31,1.13
2017-06-30,1.09
2017-07-31,1.02
2017-08-31,1.1
2017-09-29,1.01
2017-10-31,0.95
2017-11-30,0.97
2017-12-29,0.93
2018-01-31,0.86
2018-02-28,0.96
2018-03-30,1.09
2018-04-30,1.08
2018-05-31,1.15
2018-06-29,1.23
2018-07-31,1.09
2018-08-31,1.14
2018-09-28,1.06
2018-10-31,1.18
2018-11-30,1.37
2018-12-31,1.53
2019-01-31,1.28
2019-02-28,1.21
2019-03-29,1.19
2019-04-30,1.11
2019-05-31,1.28
2019-06-28,1.15
2019-07-31,1.08
2019-08-30,1.2
2019-09-30,1.15
2019-10-31,1.1
2019-11-29,1.05
2019-12-31,0.93
2020-01-31,1.02
2020-02-28,1.22
2020-03-31,2.72
2020-04-30,2.02
2020-05-29,1.74
2020-06-30,1.5
2020-07-31,1.33
2020-08-31,1.29
2020-09-30,1.36
2020-10-30,1.25
2020-11-30,1.04
2020-12-31,0.96
2021-01-29,0.97
2021-02-26,0.9
2021-03-31,0.91
2021-04-30,0.88
2021-05-31,0.84
2021-06-30,0.8
2021-07-30,0.86
2021-08-31,0.87
2021-09-30,0.84
2021-10-29,0.87
2021-11-30,0.99
2021-12-31,0.92
2022-01-31,1.06
2022-02-28,1.22
2022-03-31,1.16
2022-04-29,1.35
2022-05-31,1.3
2022-06-30,1.55
2022-07-29,1.44
2022-08-31,1.4
2022-09-30,1.59
2022-10-31,1.58
2022-11-30,1.33
2022-12-30,1.3
2023-01-31,1.17
2023-02-28,1.24
2023-03-31,1.38
2023-04-28,1.36
2023-05-31,1.38
2023-06-30,1.23
2023-07-31,1.12
2023-08-31,1.18
2023-09-29,1.21
2023-10-31,1.29
2023-11-30,1.04
2023-12-29,0.99
2024-01-31,0.96
2024-02-29,0.96
2024-03-29,0.9
2024-04-30,0.87
2024-05-31,0.85
