Date,Price,Return
1996-01-31,636.02,0.0326
1996-02-29,640.43,0.0069
1996-03-29,645.5,0.0079
1996-04-30,654.17,0.0134
1996-05-31,669.12,0.0229
1996-06-28,670.63,0.0023
1996-07-31,639.95,-0.045700000000000005
1996-08-30,651.99,0.018799999999999997
1996-09-30,687.31,0.0542
1996-10-31,705.27,0.026099999999999998
1996-11-29,757.02,0.07339999999999999
1996-12-31,740.74,-0.0215
1997-01-31,786.16,0.0613
1997-02-28,790.82,0.0059
1997-03-31,757.12,-0.0426
1997-04-30,801.34,0.0584
1997-05-30,848.28,0.058600000000000006
1997-06-30,885.14,0.0435
1997-07-31,954.29,0.0781
1997-08-29,899.47,-0.0574
1997-09-30,947.28,0.053200000000000004
1997-10-31,914.62,-0.0345
1997-11-28,955.4,0.0446
1997-12-31,970.43,0.015700000000000002
1998-01-30,980.28,0.0102
1998-02-27,1049.34,0.0704
1998-03-31,1101.75,0.0499
1998-04-30,1111.75,0.0091
1998-05-29,1090.82,-0.018799999999999997
1998-06-30,1133.84,0.0394
1998-07-31,1120.67,-0.0116
1998-08-31,957.28,-0.1458
1998-09-30,1017.01,0.062400000000000004
1998-10-30,1098.67,0.0803
1998-11-30,1163.63,0.0591
1998-12-31,1229.23,0.0564
1999-01-29,1279.64,0.040999999999999995
1999-02-26,1238.33,-0.0323
1999-03-31,1286.37,0.0388
1999-04-30,1335.18,0.0379
1999-05-31,1301.84,-0.025
1999-06-30,1372.71,0.054400000000000004
1999-07-30,1328.72,-0.032
1999-08-31,1320.41,-0.0063
1999-09-30,1282.71,-0.0286
1999-10-29,1362.93,0.0625
1999-11-30,1388.91,0.0191
1999-12-31,1469.25,0.057800000000000004
2000-01-31,1394.46,-0.0509
2000-02-29,1366.42,-0.020099999999999996
2000-03-31,1498.58,0.0967
2000-04-28,1452.43,-0.0308
2000-05-31,1420.6,-0.0219
2000-06-30,1454.6,0.0239
2000-07-31,1430.83,-0.0163
2000-08-31,1517.68,0.060700000000000004
2000-09-29,1436.51,-0.0535
2000-10-31,1429.4,-0.0049
2000-11-30,1314.95,-0.0801
2000-12-29,1320.28,0.0040999999999999995
2001-01-31,1366.01,0.0346
2001-02-28,1239.94,-0.09230000000000001
2001-03-30,1160.33,-0.0642
2001-04-30,1249.46,0.0768
2001-05-31,1255.82,0.0051
2001-06-29,1224.42,-0.025
2001-07-31,1211.23,-0.0108
2001-08-31,1133.58,-0.0641
2001-09-28,1040.94,-0.0817
2001-10-31,1059.78,0.0181
2001-11-30,1139.45,0.07519999999999999
2001-12-31,1148.08,0.0076
2002-01-31,1130.21,-0.015600000000000001
2002-02-28,1106.73,-0.0208
2002-03-29,1147.39,0.036699999999999997
2002-04-30,1076.92,-0.061399999999999996
2002-05-31,1067.14,-0.0091
2002-06-28,989.81,-0.0725
2002-07-31,911.62,-0.079
2002-08-30,916.07,0.0049
2002-09-30,815.28,-0.11
2002-10-31,885.76,0.0864
2002-11-29,936.31,0.0571
2002-12-31,879.82,-0.0603
2003-01-31,855.7,-0.0274
2003-02-28,841.15,-0.017
2003-03-31,848.18,0.0084
2003-04-30,916.92,0.081
2003-05-30,963.59,0.0509
2003-06-30,974.5,0.0113
2003-07-31,990.31,0.016200000000000003
2003-08-29,1008.01,0.0179
2003-09-30,995.97,-0.011899999999999999
2003-10-31,1050.71,0.055
2003-11-28,1058.2,0.0070999999999999995
2003-12-31,1111.92,0.0508
2004-01-30,1131.13,0.0173
2004-02-27,1144.94,0.012199999999999999
2004-03-31,1126.21,-0.016399999999999998
2004-04-30,1107.31,-0.0168
2004-05-31,1120.68,0.0121
2004-06-30,1140.84,0.018000000000000002
2004-07-30,1101.72,-0.034300000000000004
2004-08-31,1104.24,0.0023
2004-09-30,1114.58,0.009399999999999999
2004-10-29,1130.2,0.013999999999999999
2004-11-30,1173.82,0.038599999999999995
2004-12-31,1211.92,0.0325
2005-01-31,1181.27,-0.0253
2005-02-28,1203.6,0.0189
2005-03-31,1180.59,-0.0191
2005-04-29,1156.85,-0.020099999999999996
2005-05-31,1191.5,0.03
2005-06-30,1191.33,-0.0001
2005-07-29,1234.18,0.036000000000000004
2005-08-31,1220.33,-0.011200000000000002
2005-09-30,1228.81,0.0069
2005-10-31,1207.01,-0.0177
2005-11-30,1249.48,0.0352
2005-12-30,1248.29,-0.001
2006-01-31,1280.09,0.0255
2006-02-28,1280.66,0.0004
2006-03-31,1294.83,0.0111
2006-04-28,1310.61,0.012199999999999999
2006-05-31,1270.09,-0.030899999999999997
2006-06-30,1270.2,0.0001
2006-07-31,1276.66,0.0051
2006-08-31,1303.82,0.0213
2006-09-29,1335.85,0.0246
2006-10-31,1377.94,0.0315
2006-11-30,1400.63,0.0165
2006-12-29,1418.3,0.0126
2007-01-31,1438.24,0.0141
2007-02-28,1406.82,-0.0218
2007-03-30,1420.86,0.01
2007-04-30,1482.37,0.0433
2007-05-31,1530.62,0.0325
2007-06-29,1503.35,-0.0178
2007-07-31,1455.28,-0.032
