scenario,duration,buy_threshold,sell_threshold,tcost_bps,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,ending_equity_net,buy_count,hold_count,sell_count,periods
S008,6.0,0.5,-0.25,0.0,0.06280481918079928,0.06563154672148104,0.9631281379627437,-0.1655295987103007,0.3794174556703677,0.07751396648044692,6.154553213606464,81,173,106,358
S005,6.0,0.25,-0.25,0.0,0.06361736507280069,0.06659101944403448,0.9617351156717687,-0.1445163266869861,0.44020884374256325,0.11103351955307261,6.2964874101498145,143,111,106,358
S008,6.0,0.5,-0.25,5.0,0.06231457414199082,0.06560892982775171,0.9563714230871546,-0.1663592511770633,0.37457835197675143,0.07751396648044692,6.07041899130302,81,173,106,358
S004,6.0,0.25,-0.0001,0.0,0.06213557254685531,0.0655028172737286,0.9552051940521765,-0.14451632668698622,0.42995538269829725,0.1557262569832402,6.039977243988494,143,68,149,358
S005,6.0,0.25,-0.25,5.0,0.06291492641882956,0.06655650342084816,0.9522243118700091,-0.14493389540144475,0.43409394499861353,0.11103351955307261,6.173603848599873,143,111,106,358
S008,6.0,0.5,-0.25,10.0,0.06182431366013619,0.06558956094573364,0.9495630232871786,-0.16718849114663836,0.36978809507833327,0.07751396648044692,5.987394264334198,81,173,106,358
S005,6.0,0.25,-0.25,10.0,0.06221260508050386,0.06652640951331927,0.9426409753936492,-0.14535146411590316,0.4280149873887446,0.11103351955307261,6.053059585156772,143,111,106,358
S002,6.0,0.0001,-0.25,0.0,0.0631116676999981,0.06752502136287272,0.9422695419494463,-0.14451632668698622,0.4367096033148851,0.12779329608938547,6.207785801563701,196,58,106,358
S004,6.0,0.25,-0.0001,5.0,0.061148866107610056,0.06549624841719774,0.9410351773191497,-0.14493389540144475,0.4219086635202693,0.1557262569832402,5.874803944127809,143,68,149,358
S002,6.0,0.0001,-0.25,5.0,0.06230418686261352,0.0674773671098406,0.9315717827410178,-0.14582465985376614,0.4272541209771553,0.12779329608938547,6.0686484425002645,196,58,106,358
S008,6.0,0.5,-0.25,25.0,0.06035343947023719,0.06555096874739541,0.9288370798254706,-0.1696737360722319,0.3557028970267036,0.07751396648044692,5.74483696683914,81,173,106,358
