Date,raw_score,prob_up,threshold,threshold_exit,threshold_score_gate,threshold_low,threshold_high,side,score_coverage,selected_factor_count,Forward_Return,Target_Up,Set,forward_return,turnover,gross_return,cost_drag,net_return,equity_gross,equity_net,drawdown_net
2006-01-31,-0.08192076441008761,0.6639545432040687,0.55,0.48,0.08792911304481744,,,0.0,1.0,4,0.0004,0,train,0.0004,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2006-02-28,0.17485155179017292,0.757642321878687,0.55,0.48,0.0816712645797866,,,1.0,1.0,4,0.0111,1,train,0.0111,1.0,0.0111,0.0005,0.0106,1.0111,1.0106,0.0
2006-03-31,0.14698507952789872,0.6910566983794723,0.52,0.48,0.12530986223648533,,,1.0,0.9999999999999999,4,0.012199999999999999,1,train,0.012199999999999999,0.0,0.012199999999999999,0.0,0.012199999999999999,1.0234354200000002,1.02292932,0.0
2006-04-28,0.09319869686952248,0.641915665139025,0.52,0.48,0.0812685402030223,,,1.0,1.0,4,-0.030899999999999997,0,train,-0.030899999999999997,0.0,-0.030899999999999997,0.0,-0.030899999999999997,0.9918112655220002,0.991320804012,-0.03090000000000004
2006-05-31,-0.64825719483606,0.49107944156004174,0.52,0.48,0.08013504298026802,,,1.0,1.0,4,0.0001,0,train,0.0001,0.0,0.0001,0.0,0.0001,0.9919104466485523,0.9914199360924012,-0.030803090000000033
2006-06-30,-0.302297524928042,0.5827384984325573,0.52,0.48,0.07672844279136952,,,1.0,1.0,4,0.0051,1,train,0.0051,0.0,0.0051,0.0,0.0051,0.99696918992646,0.9964761777664726,-0.025860185758999954
2006-07-31,-0.21093479215463407,0.6288077505544009,0.55,0.48,0.06934556365418558,,,1.0,1.0,4,0.0213,1,train,0.0213,0.0,0.0213,0.0,0.0213,1.0182046336718937,1.0177011203528985,-0.005111007715666527
2006-08-31,0.12459384868389832,0.7044626668840522,0.5800000000000001,0.5000000000000001,0.06475341254362639,,,1.0,1.0,4,0.0246,1,train,0.0246,0.0,0.0246,0.0,0.0246,1.0432524676602222,1.0427365679135798,0.0
2006-09-29,0.5994113404589199,0.8127044916184034,0.5800000000000001,0.5000000000000001,0.09067128415967989,,,1.0,1.0,4,0.0315,1,train,0.0315,0.0,0.0315,0.0,0.0315,1.0761149203915192,1.0755827698028577,0.0
2006-10-31,0.7421749180685934,0.8379725779495278,0.52,0.48,0.10146503690520926,,,1.0,1.0,4,0.0165,1,train,0.0165,0.0,0.0165,0.0,0.0165,1.0938708165779794,1.0933298855046047,0.0
2006-11-30,0.6550451247577489,0.8318672383671446,0.5800000000000001,0.5000000000000001,0.10241018939428514,,,1.0,1.0,4,0.0126,1,train,0.0126,0.0,0.0126,0.0,0.0126,1.107653588866862,1.1071058420619626,0.0
2006-12-29,0.4815871165939577,0.8125163401322407,0.52,0.48,0.09991128733388625,,,1.0,1.0,4,0.0141,1,train,0.0141,0.0,0.0141,0.0,0.0141,1.1232715044698847,1.1227160344350362,0.0
