fold_label,test_window_months,test_start_month,test_end_month,train_end_date,observations_in_fold,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,buy_count,hold_count,sell_count,ending_equity_net
2006-02 to 2006-04,3,2006-02,2006-04,2006-01-31,3,-0.09129001663427594,0.03337649440849049,-2.8455474933233207,-0.02562308157120996,-3.5628039656576362,0.0,0,3,0,0.9763517855670614
2006-05 to 2006-07,3,2006-05,2006-07,2006-04-28,3,0.06111956411945263,0.034068544756563915,1.7569109695672531,0.0,,0.0,0,3,0,1.0149416628604262
2006-08 to 2006-10,3,2006-08,2006-10,2006-07-31,3,0.1899580459167831,0.026270747141259588,6.677038877379631,0.0,,0.0,0,3,0,1.0444385964103233
2006-11 to 2007-01,3,2006-11,2007-01,2006-10-31,3,0.031410317639001484,0.04946573958731428,0.6425174325736887,-0.01277505000000001,2.458723655797939,0.20000000000000004,1,2,0,1.0077617438962425
2007-02 to 2007-04,3,2007-02,2007-04,2007-01-31,3,0.1216954167489559,0.03644137191585949,3.1785137032557897,0.0,,0.0,0,3,0,1.02912644055176
2007-05 to 2007-07,3,2007-05,2007-07,2007-04-30,3,-0.05204204753057795,0.03771921457281421,-1.4011903640775294,-0.021175737937089933,-2.4576261609010923,0.0,0,3,0,0.9867275828020847
2007-08 to 2007-10,3,2007-08,2007-10,2007-07-31,3,0.08192135346867802,0.019697845353489844,4.016967266218362,0.0,,0.20000000000000004,0,2,1,1.0198796425981012
2007-11 to 2008-01,3,2007-11,2008-01,2007-10-31,3,0.2253195464467821,0.05887671234002462,3.500103721992465,-0.0022513499999999853,100.08197146013883,0.0,0,2,1,1.052112887486972
2008-02 to 2008-04,3,2008-02,2008-04,2008-01-31,3,-0.00881132992887268,0.02516281216219682,-0.3431810381263037,-0.008968499999999935,-0.9824753223920102,0.0,0,1,2,0.9977898511710895
2008-05 to 2008-07,3,2008-05,2008-07,2008-04-30,3,-0.06897063174385643,0.03580810453277299,-1.977775727703834,0.0,,0.0,0,3,0,0.9822925384415641
2008-08 to 2008-10,3,2008-08,2008-10,2008-07-31,3,-0.19866165587302131,0.09053682422815593,-2.3933333408508615,-0.06505227289509996,-3.053877244126015,0.0,0,0,3,0.9461369010185734
2008-11 to 2009-01,3,2008-11,2009-01,2008-10-31,3,0.42663968654382955,0.1942613305640883,1.9206158987823403,-0.03363185000000002,12.685584841268897,0.0,0,0,3,1.0928953427924637
2009-02 to 2009-04,3,2009-02,2009-04,2009-01-30,3,-0.01236031627149703,0.07379714850128026,-0.14392155002866514,-0.005074350000000005,-2.435842279601726,0.0,0,1,2,0.9968954938927482
2009-05 to 2009-07,3,2009-05,2009-07,2009-04-30,3,0.6069240261186695,0.093505666370921,5.20449100987682,0.0,,0.20000000000000004,3,0,0,1.1258974513847784
2009-08 to 2009-10,3,2009-08,2009-10,2009-07-31,3,0.19740585461908888,0.045624584341339446,3.9935311768946775,0.0,,0.0,3,0,0,1.046069029483222
2009-11 to 2010-01,3,2009-11,2010-01,2009-10-30,3,0.09227026524881321,0.09194303039186821,0.9938545598349321,-0.018389200000000105,5.017633461423698,0.0,3,0,0,1.0223098088178666
2010-02 to 2010-04,3,2010-02,2010-04,2010-01-29,3,0.2611057865528599,0.01074007632700997,21.813960428829123,0.0,,0.0,0,3,0,1.059712066785439
2010-05 to 2010-07,3,2010-05,2010-07,2010-04-30,3,-0.037688341433217754,0.13037325879063533,-0.25003133543165795,0.0,,0.20000000000000004,0,1,2,0.9904417454544188
2010-08 to 2010-10,3,2010-08,2010-10,2010-07-30,3,0.25274258361364854,0.04031390565660934,5.655557214973541,0.0,,0.20000000000000004,1,2,0,1.0579507726726458
2010-11 to 2011-01,3,2010-11,2011-01,2010-10-29,3,0.1901552509204265,0.07533199136084219,2.3524003122545203,0.0,,0.0,3,0,0,1.0444818659438388
2011-02 to 2011-04,3,2011-02,2011-04,2011-01-31,3,0.1937793732316131,0.03983239833138345,4.492840187807598,0.0,,0.0,2,1,0,1.045276093251701
2011-05 to 2011-07,3,2011-05,2011-07,2011-04-29,3,0.007776336588514621,0.08389986078558176,0.1201193888242076,-0.018851700000000027,0.41250054841285455,0.20000000000000004,0,2,1,1.0019384405322627
2011-08 to 2011-10,3,2011-08,2011-10,2011-07-29,3,0.19328706299324794,0.04421736750452253,4.040516432411463,0.0,,0.0,0,0,3,1.0451683095741808
2011-11 to 2012-01,3,2011-11,2012-01,2011-10-31,3,0.12560388935340638,0.04164959785748232,2.8686903630819915,0.0,,0.0,0,1,2,1.0300217520802442
2012-02 to 2012-04,3,2012-02,2012-04,2012-01-31,3,0.006456841754356457,0.010616023880436531,0.6099647168214144,0.0,,0.20000000000000004,2,1,0,1.0016103165819237
2012-05 to 2012-07,3,2012-05,2012-07,2012-04-30,3,-0.06260739303901042,0.0979450153896051,-0.6253467800924998,-0.0004582000000000752,-136.63769759711946,0.20000000000000004,0,2,1,0.9839666546365707
2012-08 to 2012-10,3,2012-08,2012-10,2012-07-31,3,0.02296785373827337,0.041764214462742956,0.5580854398875996,-0.007937550000000071,2.8935696453279873,0.20000000000000004,2,1,0,1.0056931605295534
2012-11 to 2013-01,3,2012-11,2013-01,2012-10-31,3,0.0775045844586657,0.04049046757410939,1.862690270542246,-0.0013502499999999973,57.40017364093009,0.0,0,3,0,1.0188371719048253
2013-02 to 2013-04,3,2013-02,2013-04,2013-01-31,3,0.12008175088081097,0.024356180443370012,4.686096010225148,0.0,,0.0,0,3,0,1.0287561165707781
2013-05 to 2013-07,3,2013-05,2013-07,2013-04-30,3,-0.024386210762853855,0.08916603723778464,-0.2469236121964821,-0.02549714999999997,-0.9564288856932592,0.0,0,3,0,0.9938468887453384
2013-08 to 2013-10,3,2013-08,2013-10,2013-07-31,3,0.09415242534416124,0.057877785194407644,1.5797114504795275,0.0,,0.0,0,3,0,1.0227499262221802
2013-11 to 2014-01,3,2013-11,2014-01,2013-10-31,3,0.05715145924380205,0.03107706128786954,1.8028860412831123,-0.005654750000000042,10.106805649021023,0.0,1,2,0,1.0139914742143954
2014-02 to 2014-04,3,2014-02,2014-04,2014-01-31,3,0.20167333545060062,0.04922804744523188,3.776733176485305,0.0,,0.0,1,2,0,1.04699981785132
2014-05 to 2014-07,3,2014-05,2014-07,2014-04-30,3,0.02087055533522575,0.04677765872005563,0.4575987893729839,-0.01378899999999994,1.5135655475542709,0.0,1,2,0,1.005177293330772
2014-08 to 2014-10,3,2014-08,2014-10,2014-07-31,3,0.045957019604758065,0.07856800458201799,0.5992617510204131,-0.022021100000000016,2.086953858106908,0.20000000000000004,0,2,1,1.011296396453907
2014-11 to 2015-01,3,2014-11,2015-01,2014-10-31,3,0.22443335679328724,0.0641314518631068,3.2049703231222413,0.0,,0.0,0,3,0,1.0519226055856494
2015-02 to 2015-04,3,2015-02,2015-04,2015-01-30,3,-0.0766024100002275,0.039401376286495336,-2.002732072763814,-0.006602049999999915,-11.602821850823378,0.0,0,2,1,0.9802733234652184
2015-05 to 2015-07,3,2015-05,2015-07,2015-04-30,3,-0.04111491575578896,0.05498681955678104,-0.7438364380715683,-0.018245999999999984,-2.253365984642606,0.0,0,3,0,0.9895588808968367
2015-08 to 2015-10,3,2015-08,2015-10,2015-07-31,3,0.02756913213933676,0.03078209584693673,0.8947279008209814,0.0,,0.0,0,1,2,1.0068221523345922
2015-11 to 2016-01,3,2015-11,2016-01,2015-10-30,3,0.03564487439672237,0.044132418686607194,0.8093778012406952,-0.005735400000000057,6.214889004554523,0.0,0,3,0,1.0087945214912568
2016-02 to 2016-04,3,2016-02,2016-04,2016-01-29,3,0.11660733733646578,0.020243661154050203,5.480184594860411,0.0,,0.0,0,1,2,1.027957404901166
2016-05 to 2016-07,3,2016-05,2016-07,2016-04-29,3,0.15007199893179357,0.019840202103557313,7.095300706375356,0.0,,0.20000000000000004,3,0,0,1.0355742844557263
2016-08 to 2016-10,3,2016-08,2016-10,2016-07-29,3,-0.04486308273838535,0.026778809245184897,-1.7018157746575087,-0.012179900000000021,-3.683370367440231,0.0,0,3,0,0.9885904433784358
