scenario,duration,buy_threshold,sell_threshold,tcost_bps,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,ending_equity_net,buy_count,hold_count,sell_count,periods
S010,8.5,0.31,-0.31,0.0,0.0837601104874881,0.06571905114772504,1.260635684154342,-0.14427929995663558,0.5805414256422297,0.04986033519553073,11.019773508942427,66,222,72,358
S010,8.5,0.31,-0.31,5.0,0.08343946405710567,0.06569882757207723,1.2564701996219108,-0.14453365289717202,0.5773012885550495,0.04986033519553073,10.922919768315511,66,222,72,358
S010,8.5,0.31,-0.31,10.0,0.0831188179377178,0.06567984555690909,1.2522784772990088,-0.1447880058377089,0.574072537685785,0.04986033519553073,10.826889085236171,66,222,72,358
S010,8.5,0.31,-0.31,25.0,0.08215688144541788,0.0656303592947279,1.2395478529134865,-0.14555106465931855,0.5644540054565516,0.04986033519553073,10.543668102623151,66,222,72,358
S010,8.5,0.31,-0.31,50.0,0.08055366017714771,0.0655728001895172,1.2178244739138184,-0.1468228293620012,0.5486453334756098,0.04986033519553073,10.087474270793543,66,222,72,358
S013,8.5,0.25,-0.31,0.0,0.08043712493593413,0.06587348160465697,1.2109081374341983,-0.14427929995663602,0.5575098088229564,0.06131284916201118,10.055068670643502,86,202,72,358
S011,8.5,0.31,-0.25,0.0,0.08052996556700664,0.0661172097829997,1.2079967041941955,-0.18229283016981124,0.44176156293141405,0.053212290502793295,10.080877214936617,66,212,82,358
S013,8.5,0.25,-0.31,5.0,0.0800432707683254,0.06585839115777707,1.205599718204671,-0.14453365289717224,0.5538036932151144,0.06131284916201118,9.94629040612309,86,202,72,358
S011,8.5,0.31,-0.25,5.0,0.0801885818993866,0.06609744969743936,1.2035274905386388,-0.1825406565065555,0.43929162650133685,0.053212290502793295,9.98629070681828,66,212,82,358
S008,6.0,0.5,-0.25,0.0,0.0713505193817352,0.05899777960021029,1.2007991534418718,-0.15248734316134238,0.467911092832415,0.041480446927374306,7.815539048628845,40,232,88,358
S013,8.5,0.25,-0.31,10.0,0.07964944390335615,0.06584479514918604,1.2002616235223251,-0.1447880058377088,0.550110787440738,0.06131284916201118,9.83865732237704,86,202,72,358
S011,8.5,0.31,-0.25,10.0,0.07984720529465972,0.06607899978837617,1.1990318297203353,-0.1827884828432994,0.4368284262368488,0.053212290502793295,9.892564134094544,66,212,82,358
S002,6.0,0.31,-0.25,0.0,0.07202175206417749,0.059717776793568295,1.197595781053959,-0.1649452785162021,0.43664027677580963,0.06326815642458102,7.962950105765125,74,198,88,358
S008,6.0,0.5,-0.25,5.0,0.07108601797538694,0.05898759820967721,1.1967871766261682,-0.1527440149218805,0.4653931482143063,0.041480446927374306,7.758178653225411,40,232,88,358
S008,6.0,0.5,-0.25,10.0,0.07082150371823848,0.05897858719993251,1.1927501450193205,-0.15300068668241862,0.46288356774006956,0.041480446927374306,7.701222473329887,40,232,88,358
